path,bce,dice,total
../data/train/2549612900362319899,0.0001,0.0996,0.0998
../data/train/7337904007116643433,0.0001,0.0996,0.0997
../data/train/4684327930443578686,0.0002,0.0996,0.0998
../data/train/4483665921286445556,0.0001,0.0996,0.0997
../data/train/1177033898838645229,0.0001,0.0996,0.0997
../data/train/7730588266673151644,0.0001,0.0996,0.0998
../data/train/7648236357367198249,0.0003,0.0996,0.1
../data/train/7835429689902694741,0.0009,0.0996,0.1006
../data/train/5882432053363102761,0.0001,0.0996,0.0997
../data/train/66472271358012499,0.0014,0.0996,0.1011
../data/train/7861005748161447169,0.0005,0.0996,0.1001
../data/train/4867476001929543081,0.0001,0.0996,0.0997
../data/train/5556656439170354140,0.0001,0.0996,0.0997
../data/train/8028351669860579920,0.0001,0.0996,0.0997
../data/train/5108805620915634082,0.0002,0.0996,0.0997
../data/validation/3160122000820846810,0.0004,0.0996,0.1
../data/train/832292063408031328,0.0001,0.0996,0.0997
../data/train/7860689398904538165,0.0001,0.0996,0.0997
../data/train/6787894340700844943,0.0001,0.0996,0.0997
../data/train/7207832552666983195,0.0026,0.0996,0.1022
../data/train/4933685948922675255,0.0001,0.0996,0.0997
../data/train/880751951698874826,0.0002,0.0996,0.0998
../data/train/8261722771650276674,0.0003,0.0996,0.0999
../data/validation/1024187583264624816,0.0001,0.0996,0.0997
../data/train/3640463602833369770,0.0001,0.0996,0.0997
../data/train/3657759678612907367,0.0001,0.0996,0.0997
../data/train/6513313410954217469,0.0001,0.0996,0.0997
../data/train/3587939903817787650,0.0001,0.0996,0.0997
../data/train/6838978303156197138,0.0002,0.0996,0.0998
../data/validation/4632924604458483815,0.0003,0.0996,0.0999
../data/train/2922246949405809637,0.0008,0.0996,0.1004
../data/validation/4447114212394465414,0.0004,0.0996,0.1
../data/train/5102207174164853132,0.0002,0.0996,0.0998
../data/validation/2892028402466434618,0.0003,0.0996,0.0999
../data/train/4902304506136970897,0.0002,0.0996,0.0998
../data/train/3872014208842302689,0.0007,0.0996,0.1004
../data/train/7089428904335751437,0.0001,0.0996,0.0997
../data/train/8088975832818584582,0.0011,0.0996,0.1007
../data/train/3728388640604438854,0.0001,0.0996,0.0997
../data/train/5327044660368076766,0.0001,0.0996,0.0996
../data/train/3926188247521481022,0.0002,0.0996,0.0998
../data/train/650270013815722637,0.0001,0.0996,0.0997
../data/train/5103456469637864177,0.0002,0.0996,0.0998
../data/train/5488712985735601536,0.0002,0.0996,0.0997
../data/train/3741120051336411427,0.0001,0.0996,0.0997
../data/train/2193684614366433050,0.0001,0.0996,0.0996
../data/train/8912200169318312774,0.0003,0.0996,0.0999
../data/train/657038196385598727,0.0001,0.0996,0.0997
../data/train/7984550560869394325,0.0011,0.0996,0.1008
../data/train/3441448151461728380,0.0002,0.0996,0.0998
../data/train/7884410117322780183,0.0003,0.0996,0.0999
../data/train/987932121070030277,0.0002,0.0996,0.0998
../data/train/5017921813987699768,0.0001,0.0996,0.0996
../data/train/2235317343005482972,0.0004,0.0996,0.1
../data/train/8039855457902227263,0.0005,0.0996,0.1001
../data/train/4906190171420874658,0.0001,0.0996,0.0997
../data/train/7924114731556524233,0.0007,0.0996,0.1002
../data/train/3417613170304911884,0.0001,0.0996,0.0997
../data/train/5791366937837198155,0.0002,0.0996,0.0998
../data/train/5416592848319720274,0.0001,0.0996,0.0997
../data/train/8780501774058949280,0.0001,0.0996,0.0997
../data/train/6546503622131711494,0.0001,0.0996,0.0996
../data/train/5685548285771945990,0.0001,0.0996,0.0996
../data/validation/3405667281164798115,0.0001,0.0996,0.0997
../data/train/8220413770610690980,0.0007,0.0996,0.1003
../data/train/7941734485424183158,0.0001,0.0996,0.0997
../data/train/5790354026495690976,0.0003,0.0996,0.0999
../data/train/8148381080424611480,0.0003,0.0996,0.0999
../data/train/6761158370524065358,0.0001,0.0996,0.0996
../data/train/9046565163317809520,0.0004,0.0996,0.0999
../data/train/5786801778331739435,0.0002,0.0996,0.0998
../data/train/2115970197883756891,0.0001,0.0996,0.0997
../data/train/832656124511757397,0.0003,0.0996,0.0999
../data/train/1617527677581304033,0.0002,0.0996,0.0998
../data/train/7163799814939406690,0.0001,0.0996,0.0997
../data/train/782689847605538975,0.0002,0.0996,0.0997
../data/train/3673561885005244635,0.0002,0.0996,0.0998
../data/validation/2008572761596404010,0.0003,0.0996,0.0998
../data/train/2079318450352493577,0.0005,0.0996,0.1002
../data/train/2923796409040672683,0.0011,0.0996,0.1007
../data/train/3024529770700260977,0.0002,0.0996,0.0998
../data/train/7036826277932194282,0.0001,0.0996,0.0997
../data/train/6597468295704804224,0.0002,0.0996,0.0999
../data/train/2723031184190923279,0.0015,0.0996,0.1011
../data/train/5711999873297862686,0.0002,0.0996,0.0998
../data/train/235105540404040889,0.0001,0.0996,0.0997
../data/train/7780951274076022248,0.0005,0.0996,0.1001
../data/train/7764341202588004977,0.0001,0.0996,0.0997
../data/train/8232900995810326362,0.0002,0.0997,0.0999
../data/train/141100629893604145,0.0002,0.0997,0.0999
../data/train/1390885628105254722,0.0002,0.0997,0.0999
../data/train/3871975750762222176,0.0006,0.0997,0.1004
../data/train/4198623920243446384,0.0003,0.0997,0.0999
../data/train/2576906943485937751,0.0001,0.0997,0.0998
../data/train/4636650185296009580,0.0001,0.0997,0.0997
../data/train/6672524107397275936,0.0003,0.0997,0.1
../data/train/7100337373505497821,0.0001,0.0997,0.0998
../data/train/7867708274835506639,0.0003,0.0997,0.1
